grade_review;level_grade_review;id_date;id_reservation;id_room;id_client
8.0;2;20221201;f85e2b2a-a3b3-4726-af58-d288d88394ae;49bee996-2e84-4261-b7e5-4d0831159a65;2e01b95f-53ee-44d1-b473-f564a6a7b824
7.0;1;20221201;59157f7d-45d2-4f64-831f-54ada037d4e8;49bee996-2e84-4261-b7e5-4d0831159a65;88b36ce7-ce42-445a-bba0-e1271b95ac41
4.0;0;20221201;85663a4e-a32e-4ef2-b800-34634a7a37b5;49bee996-2e84-4261-b7e5-4d0831159a65;6a0a750c-6585-4619-a480-4d5261ee8dd4
8.0;2;20221201;de2b1cbb-3293-4604-b206-5975b14491cf;49bee996-2e84-4261-b7e5-4d0831159a65;b8cdef70-a16d-4c91-9355-77f16146a3ea
1.0;0;20221201;6a5103f5-715e-4fc1-a472-5a10ac3b95fb;49bee996-2e84-4261-b7e5-4d0831159a65;6a17809e-526f-4b43-92c9-8e63f2d1467c
7.0;1;20221201;d3f792a9-2ec8-41d4-96a8-6513d86c5149;49bee996-2e84-4261-b7e5-4d0831159a65;e8ff3c2c-b872-4dd6-b9af-97e59391ad74
8.0;2;20221201;5cc4514c-a53d-4c54-b00c-48b03258c558;49bee996-2e84-4261-b7e5-4d0831159a65;eb8e8da0-6a52-41ee-8dfe-d92e0dccaa25
5.0;0;20221201;b042689a-c253-41ee-8fe6-3c13b055b871;49bee996-2e84-4261-b7e5-4d0831159a65;60b042a2-90b4-49ef-bccc-8f8e6f1434f6
8.0;2;20221101;6bd16b14-4c05-4576-ad9e-2e41e0c4b149;49bee996-2e84-4261-b7e5-4d0831159a65;19f2bfe5-d2e9-465a-9c8e-275babc2e4cb
7.0;1;20221201;849fcefd-c542-4ee5-a259-01fa28f40cdd;49bee996-2e84-4261-b7e5-4d0831159a65;30e589b3-9c51-4856-b3f8-ea418e36a14a
10.0;2;20221101;f6c1f507-8673-476c-91c5-bcd6ca37c3e7;49bee996-2e84-4261-b7e5-4d0831159a65;8c8c8e51-71f3-47fc-bef2-96f65d388966
10.0;2;20221101;a7362edb-0797-4e9a-ae61-3dece2a9e0a1;49bee996-2e84-4261-b7e5-4d0831159a65;79deaad7-b07b-4096-b436-ec4eb2e5069a
6.0;1;20221201;3122bdb0-8552-4ff6-af50-da98a0b5aba1;49bee996-2e84-4261-b7e5-4d0831159a65;53a77278-c327-4405-8d1c-f6d00e7c35bf
3.0;0;20221201;b648fd97-1b88-499f-bd77-e4a3639a6a05;49bee996-2e84-4261-b7e5-4d0831159a65;d8f46bbd-5833-4177-bda1-22749854f159
9.0;2;20221201;3eb5fabd-490c-4404-9381-9187cdcbcf6e;49bee996-2e84-4261-b7e5-4d0831159a65;4fcb57f8-2dc3-4196-bfc8-1188c2b09ef2
10.0;2;20221101;903c1273-5a1c-4ad1-b131-6d82515d20a8;49bee996-2e84-4261-b7e5-4d0831159a65;3d96494a-6b5d-443f-92ee-4720d331eb8d
4.0;0;20221101;a34ec8e5-5c04-45ec-a64b-8b357b2c096d;49bee996-2e84-4261-b7e5-4d0831159a65;50a16bda-9fdc-436e-a670-88d70ff6e2eb
8.0;2;20221101;40fc03f0-a5cf-4b27-a02f-90ae559d8173;49bee996-2e84-4261-b7e5-4d0831159a65;4f6b42ea-1706-40f2-baef-62ebf084413f
7.0;1;20221101;5bf98e78-c81a-4557-9742-590833493491;49bee996-2e84-4261-b7e5-4d0831159a65;9efed0d9-f27a-4fa0-9ffa-a59023ea4811
10.0;2;20221101;59d852e9-15b3-4a3f-9e7c-961bde8ed53a;49bee996-2e84-4261-b7e5-4d0831159a65;96c542fd-e916-4fb9-872e-e8bca80556e6
10.0;2;20221201;cb97c747-0ac2-4006-b5b3-e4ed00c8f311;49bee996-2e84-4261-b7e5-4d0831159a65;b8704c9a-38f2-41db-907e-453d14c13a59
10.0;2;20221101;d5656979-481d-4962-b425-d9405fae72b3;49bee996-2e84-4261-b7e5-4d0831159a65;6325ee23-67e9-463c-91c2-b7fedb012108
9.0;2;20221201;62f6c365-2719-4fc5-ac87-0b147a7cdd14;49bee996-2e84-4261-b7e5-4d0831159a65;1252b0c2-726f-424e-85ed-1d13f0fbeeef
10.0;2;20221201;db78bc7f-dde3-4ef8-a3e2-8bf5ab894c7d;49bee996-2e84-4261-b7e5-4d0831159a65;6fb4f5e6-96fc-4c2e-9c30-46d29ff831fe
8.0;2;20220901;0d28180a-7910-4819-92e8-7ad72b5f4cf7;49bee996-2e84-4261-b7e5-4d0831159a65;0c245183-3551-42fb-a424-228350a61bec
