Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Jessica;France;Chambre Standard Cars;1 nuit ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 21 juillet 2022;Bien ;7,0;"L'emplacement. Pas loin de disney navette. 
Le personnel est au top";"Il faisait chaud dans la chambre une clim serait de rigueur. 
La propreté n'était pas au top de la poussiere et de la salete dans les coins, sous les petites tables ou se trouve le téléphone et le prix est exessif pour une nuit.";1 ;JessicaFranceChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 21 juillet 2022Bien ;Santa_Fe
Anonyme;Suisse;;1 nuit ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 21 juillet 2022;Assez médiocre ;3,0;;;0;AnonymeSuissenanJuillet 2022FamilleCommentaire envoyé le 21 juillet 2022Assez médiocre ;Santa_Fe
Tania;Afrique du Sud;Chambre Standard Cars;1 nuit ·  Juillet 2022;Juillet 2022;Couple;Commentaire envoyé le 21 juillet 2022;Agréable;6,0;;;0;TaniaAfrique du SudChambre Standard CarsJuillet 2022CoupleCommentaire envoyé le 21 juillet 2022Agréable;Santa_Fe
Pelucchi;Italie;Chambre Standard Cars;2 nuits ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 21 juillet 2022;Bien ;7,0;;;0;PelucchiItalieChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 21 juillet 2022Bien ;Santa_Fe
Zeilers;Autriche;Chambre Standard Cars - Côté Rivière;3 nuits ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 20 juillet 2022;Exceptionnel;10;;;0;ZeilersAutricheChambre Standard Cars - Côté RivièreJuillet 2022FamilleCommentaire envoyé le 20 juillet 2022Exceptionnel;Santa_Fe
Eunice;Royaume-Uni;Chambre Standard Cars;1 nuit ·  Juin 2022;Juin 2022;Famille;Commentaire envoyé le 17 juillet 2022;Décevant;4,0;;;0;EuniceRoyaume-UniChambre Standard CarsJuin 2022FamilleCommentaire envoyé le 17 juillet 2022Décevant;Santa_Fe
Kathelyne;Belgique;Chambre Standard Cars - Côté Rivière;1 nuit ·  Juin 2022;Juin 2022;Couple;Commentaire envoyé le 16 juillet 2022;cote rivière , top et belle grande chambre. propre. rapport qualité prix respecté 😀;7,0;la proximité vers le parc et la magie Disney des l entrée;airco est manquant mais ventilateur plafond donc ça allait;0;KathelyneBelgiqueChambre Standard Cars - Côté RivièreJuin 2022CoupleCommentaire envoyé le 16 juillet 2022cote rivière , top et belle grande chambre. propre. rapport qualité prix respecté 😀;Santa_Fe
Ravit;Israël;Chambre Standard Cars;1 nuit ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 16 juillet 2022;Bien ;7,0;;;0;RavitIsraëlChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 16 juillet 2022Bien ;Santa_Fe
Gwendy;France;Chambre Standard Cars;1 nuit ·  Juin 2022;Juin 2022;Famille;Commentaire envoyé le 16 juillet 2022;Très bien;8,0;Que en dehors des boissons chaudes nous n'avons pas accès à des boissons fraîches avec les cartes de chambres;;0;GwendyFranceChambre Standard CarsJuin 2022FamilleCommentaire envoyé le 16 juillet 2022Très bien;Santa_Fe
Guy;Belgique;Chambre Standard Cars;1 nuit ·  Juin 2022;Juin 2022;Famille;Commentaire envoyé le 14 juillet 2022;prettig.;8,0;;;0;GuyBelgiqueChambre Standard CarsJuin 2022FamilleCommentaire envoyé le 14 juillet 2022prettig.;Santa_Fe
José;Espagne;Chambre Standard Cars - Proche Commodités;3 nuits ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 14 juillet 2022;Fabuleux ;9,0;;;0;JoséEspagneChambre Standard Cars - Proche CommoditésJuillet 2022FamilleCommentaire envoyé le 14 juillet 2022Fabuleux ;Santa_Fe
