Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Jerome;France;Chambre Standard Woody's Roundup;1;Mars 2022;Famille;Commentaire envoyé le 11 avril 2022;C'est passer trop vite pas eu le temps de tout faire;10;Tout etait vraimlent top et pratique excellent sejour;Trop d'attente pour les pass sanitaire et manege les files d'attente sont trop longue;1;JeromeFranceChambre Standard Woody's RoundupMars 2022FamilleCommentaire envoyé le 11 avril 2022C'est passer trop vite pas eu le temps de tout faire;Cheyenne
Beauvais;France;Chambre Standard Woody's Roundup;1;Mars 2022;Famille;Commentaire envoyé le 11 avril 2022;Très bien;8,0;;;0;BeauvaisFranceChambre Standard Woody's RoundupMars 2022FamilleCommentaire envoyé le 11 avril 2022Très bien;Cheyenne
Julie;Belgique;Chambre Standard Woody's Roundup;1;Mars 2022;Couple;Commentaire envoyé le 11 avril 2022;Très bien;8,0;Hôtel bien thematise (plus western), navette vers le parc pratique rapide et fréquente, parking aise, machine à boisson chaude agréable;Baignoire un peu petite,;1;JulieBelgiqueChambre Standard Woody's RoundupMars 2022CoupleCommentaire envoyé le 11 avril 2022Très bien;Cheyenne
Melaine;France;Chambre Standard Woody's Roundup;1;Mars 2022;Famille;Commentaire envoyé le 11 avril 2022;tres bon séjour;8,0;la decoration;pas grand chose;0;MelaineFranceChambre Standard Woody's RoundupMars 2022FamilleCommentaire envoyé le 11 avril 2022tres bon séjour;Cheyenne
Joknik;Espagne;Chambre Double/Lit Gigogne Woody's Roundup - Côté Rivière;2;Avril 2022;Famille;Commentaire envoyé le 11 avril 2022;estancia aceptable;7,0;;;1;JoknikEspagneChambre Double/Lit Gigogne Woody's Roundup - Côté RivièreAvril 2022FamilleCommentaire envoyé le 11 avril 2022estancia aceptable;Cheyenne
Virginie;France;Chambre Standard Woody's Roundup;1;Avril 2022;Famille;Commentaire envoyé le 10 avril 2022;Fabuleux ;9,0;;;0;VirginieFranceChambre Standard Woody's RoundupAvril 2022FamilleCommentaire envoyé le 10 avril 2022Fabuleux ;Cheyenne
Anonyme;France;;1;Mars 2022;Famille;Commentaire envoyé le 10 avril 2022;Super !!!!;8,0;Propre, personnels agréable et qui se démènent pour que tout le monde soit satisfait, plutôt calme et boissons chaudes offerte !;"Nous avions demandé à l’avance un chauffe biberon qui n’était pas présent et avons dû le redemander d’urgence à notre arrivée . 
Dommage qu’il n’y ai pas de distributeur de boissons dans chaque bâtiment .";1;AnonymeFrancenanMars 2022FamilleCommentaire envoyé le 10 avril 2022Super !!!!;Cheyenne
Edin;Belgique;Chambre Standard Woody's Roundup;4;Avril 2022;Famille;Commentaire envoyé le 10 avril 2022;Médiocre ;2,0;;;0;EdinBelgiqueChambre Standard Woody's RoundupAvril 2022FamilleCommentaire envoyé le 10 avril 2022Médiocre ;Cheyenne
Carine;France;Chambre Standard Woody's Roundup;1;Mars 2022;Famille;Commentaire envoyé le 10 avril 2022;Très bien;8,0;;;0;CarineFranceChambre Standard Woody's RoundupMars 2022FamilleCommentaire envoyé le 10 avril 2022Très bien;Cheyenne
Christie;Suisse;Chambre Woody's Roundup à Proximité des Installations;2;Mars 2022;Famille;Commentaire envoyé le 10 avril 2022;Très bien;8,0;;;0;ChristieSuisseChambre Woody's Roundup à Proximité des InstallationsMars 2022FamilleCommentaire envoyé le 10 avril 2022Très bien;Cheyenne
Claudia;Italie;Chambre Standard Woody's Roundup;1;Mars 2022;Couple;Commentaire envoyé le 10 avril 2022;Très bien;8,0;;;0;ClaudiaItalieChambre Standard Woody's RoundupMars 2022CoupleCommentaire envoyé le 10 avril 2022Très bien;Cheyenne
Cng2012;Espagne;Chambre Standard Woody's Roundup;4;Avril 2022;Famille;Commentaire envoyé le 10 avril 2022;Exceptionnel;10;;;0;Cng2012EspagneChambre Standard Woody's RoundupAvril 2022FamilleCommentaire envoyé le 10 avril 2022Exceptionnel;Cheyenne
Sébastien;France;Chambre Double/Lit Gigogne Woody's Roundup - Côté Rivière;1;Mars 2022;Voyageur individuel;Commentaire envoyé le 8 avril 2022;Assez médiocre ;3,0;;;0;SébastienFranceChambre Double/Lit Gigogne Woody's Roundup - Côté RivièreMars 2022Voyageur individuelCommentaire envoyé le 8 avril 2022Assez médiocre ;Cheyenne
Couple;France;Chambre Woody's Roundup à Proximité des Installations;1;Avril 2022;Groupe;Commentaire envoyé le 8 avril 2022;Bel hotel far west et literie tres confortable;9,0;On se croirait au far west. Personnel au top tant a l accueil qu'au restaurant. Belle chambre. Literie tres confortable et oreillers top. Baignoire. Calme. Navette pour le parc tres pratique ou a pied 15min..le long des bois...;Rien;1;CoupleFranceChambre Woody's Roundup à Proximité des InstallationsAvril 2022GroupeCommentaire envoyé le 8 avril 2022Bel hotel far west et literie tres confortable;Cheyenne
Fabyo;Brésil;Chambre Double/Lit Gigogne Woody's Roundup - Côté Rivière;3;Avril 2022;Famille;Commentaire envoyé le 7 avril 2022;Bien ;7,0;;;0;FabyoBrésilChambre Double/Lit Gigogne Woody's Roundup - Côté RivièreAvril 2022FamilleCommentaire envoyé le 7 avril 2022Bien ;Cheyenne
Marion;États-Unis;Chambre Standard Woody's Roundup;1;Avril 2022;Famille;Commentaire envoyé le 7 avril 2022;Bon séjour;8,0;Diner;Chambre petite et literie moyenne;0;MarionÉtats-UnisChambre Standard Woody's RoundupAvril 2022FamilleCommentaire envoyé le 7 avril 2022Bon séjour;Cheyenne
Stacy;Royaume-Uni;Chambre Standard Woody's Roundup;1;Avril 2022;Famille;Commentaire envoyé le 7 avril 2022;Très bien;8,0;;;0;StacyRoyaume-UniChambre Standard Woody's RoundupAvril 2022FamilleCommentaire envoyé le 7 avril 2022Très bien;Cheyenne
