Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;hotel
Ornella;Belgique;Chambre Supérieure – Côté Lac (3 Adultes + 1 Enfant);2;Janvier 2020;Famille;Commentaire envoyé le 25 janvier 2020;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Frank;France;Chambre Supérieure (3 Adultes + 1 Enfant);1;Janvier 2020;Famille;Commentaire envoyé le 24 janvier 2020;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Gael;France;Chambre Supérieure (4 Adultes);1;Janvier 2020;Couple;Commentaire envoyé le 19 janvier 2020;Fabuleux ;9,2;;;0;Disney's Newport Bay Club
Dylan;France;Chambre Supérieure – Côté Lac (2 Adultes + 2 Enfants);1;Janvier 2020;Couple;Commentaire envoyé le 13 janvier 2020;Exceptionnel;9,6;;;0;Disney's Newport Bay Club
Flightsim;France;Chambre Compass Club – Côté Lac (2 Adultes + 2 Enfants);1;Janvier 2020;Famille;Commentaire envoyé le 13 janvier 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Manuel;France;Chambre Supérieure (2 Adultes + 2 Enfants);1;Janvier 2020;Famille;Commentaire envoyé le 4 janvier 2020;Bon ;5,8;;;0;Disney's Newport Bay Club
Didrik;Belgique;Chambre Supérieure – Côté Lac (4 Adultes);2;Décembre 2019;Groupe;Commentaire envoyé le 4 janvier 2020;Assez médiocre ;3,0;;;0;Disney's Newport Bay Club
Francine;France;Chambre Supérieure – Côté Lac (2 Adultes + 2 Enfants);1;Décembre 2019;Couple;Commentaire envoyé le 1 janvier 2020;au top;10;;;0;Disney's Newport Bay Club
Enguerrand;France;Chambre Supérieure – Côté Lac (4 Adultes);1;Décembre 2019;Groupe;Commentaire envoyé le 29 décembre 2019;Exceptionnel;10;;;0;Disney's Newport Bay Club
Richard;France;Chambre Supérieure (2 Adultes + 2 Enfants);1;Décembre 2019;Famille;Commentaire envoyé le 27 décembre 2019;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Février 2022;Couple;Commentaire envoyé le 9 février 2022;Agréable;6,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Décembre 2021;Famille;Commentaire envoyé le 26 décembre 2021;Très bien;8,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Décembre 2021;Groupe;Commentaire envoyé le 12 décembre 2021;Agréable;6,0;;;0;Disney's Newport Bay Club
Anonyme;Israël;;2;Décembre 2021;Famille;Commentaire envoyé le 11 décembre 2021;Très bien;8,0;;;0;Disney's Newport Bay Club
Anonyme;Belgique;;1;Août 2021;Famille;Commentaire envoyé le 27 septembre 2021;Très bien;8,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Août 2021;Couple;Commentaire envoyé le 26 août 2021;Bien ;7,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Juin 2021;Famille;Commentaire envoyé le 29 juin 2021;Très bien;8,0;;;0;Disney's Newport Bay Club
Anonyme;Belgique;;1;Juin 2021;Couple;Commentaire envoyé le 27 juin 2021;Très bien;8,0;;;0;Disney's Newport Bay Club
Anonyme;France;;2;Octobre 2020;Famille;Commentaire envoyé le 19 octobre 2020;Très bien;8,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Septembre 2020;Groupe;Commentaire envoyé le 27 septembre 2020;Très bien;8,0;;;0;Disney's Newport Bay Club
Anonyme;France;;2;Septembre 2020;Couple;Commentaire envoyé le 11 septembre 2020;Très bien;8,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Août 2020;Famille;Commentaire envoyé le 11 septembre 2020;Très bien;8,0;;;0;Disney's Newport Bay Club
Anonyme;France;;3;Janvier 2020;Couple;Commentaire envoyé le 1 février 2020;Superbe;8,8;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Janvier 2020;Famille;Commentaire envoyé le 19 janvier 2020;Très bien;8,0;;;0;Disney's Newport Bay Club
Anonyme;La Réunion;;3;Décembre 2019;Famille;Commentaire envoyé le 16 janvier 2020;Bien ;7,5;;;0;Disney's Newport Bay Club
Anonyme;Belgique;;2;Décembre 2019;Couple;Commentaire envoyé le 16 janvier 2020;Très bien;8,0;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Janvier 2020;Famille;Commentaire envoyé le 12 janvier 2020;Très bien;8,0;;;0;Disney's Newport Bay Club
Anonyme;France;;3;Janvier 2020;Famille;Commentaire envoyé le 3 janvier 2020;Bien ;7,1;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Mars 2022;Groupe;Commentaire envoyé le 23 mars 2022;Exceptionnel;10;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Mars 2022;Groupe;Commentaire envoyé le 9 mars 2022;Exceptionnel;10;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Février 2022;Famille;Commentaire envoyé le 25 février 2022;Exceptionnel;10;;;0;Disney's Newport Bay Club
Anonyme;France;;1;Février 2022;Famille;Commentaire envoyé le 9 février 2022;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
